SCORE,CATEGORY
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
1,MEDICAL
