SCORE,CATEGORY,,
3,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
5,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
4,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
5,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
5,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
6,HARM,,
5,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
5,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
5,HARM,,
4,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
1,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
4,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
5,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
5,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
5,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
6,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
5,HARM,,
6,HARM,,
6,HARM,,
5,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
5,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
5,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
4,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
5,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
5,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
1,HARM,,
6,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
5,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
2,HARM,,
6,HARM,,
5,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
5,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
5,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
6,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
5,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
5,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
2,HARM,,
2,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
1,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
4,HARM,,
1,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
6,HARM,,
1,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
4,HARM,,
2,HARM,,
4,HARM,,
5,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
4,HARM,,
2,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
1,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
5,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
6,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
4,HARM,,
1,HARM,,
6,HARM,,
6,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
6,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
1,HARM,,
2,HARM,,
2,HARM,,
4,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
2,HARM,,
1,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
1,HARM,,
6,HARM,,
1,HARM,,
2,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
4,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
2,HARM,,
4,HARM,,
4,HARM,,
4,HARM,,
2,HARM,,
4,HARM,,
1,HARM,,
3,HARM,,
6,HARM,,
4,HARM,,
3,HARM,,
2,HARM,,
3,HARM,,
1,HARM,,
3,HARM,,
3,HARM,,
4,HARM,,
1,HARM,,
5,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
1,HARM,,
1,HARM,,
2,HARM,,
4,HARM,,
3,HARM,,
3,HARM,,
1,HARM,,
4,HARM,,
2,HARM,,
2,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
6,HARM,,
3,HARM,,
3,HARM,,
3,HARM,,
5,HARM,,
